AsiaFM 高清音乐台,https://lhttp.qingting.fm/live/5022405/64k.mp3
中廣音樂網,https://stream.rcs.revma.com/ks4vsmg3qtzuv
80后音悦台,http://lhttp.qingting.fm/live/20207761/64k.mp3
怀集音乐之声,http://lhttp.qingting.fm/live/4804/64k.mp3
动听音乐网络电台,http://lhttp.qingting.fm/live/5022107/64k.mp3
华语金曲500首,http://ls.qingting.fm/live/3412131.m3u8?bitrate=64
500首华语经典,https://lhttp.qtfm.cn/live/5022308/64k.mp3
臺北電台,https://stream.ginnet.cloud/live0130lo-yfyo/_definst_/fm/playlist.m3u8
栗子的輕音樂,http://lizeradio.com:8080/;&type=mp3
Radio Paradise,http://stream-uk1.radioparadise.com/aac-320
Rockabilly,http://lin3.ash.fast-serv.com:6026/stream_96
MangoRadio,http://stream.mangoradio.de
deep,http://channels.dinamo.fm/deep-mp3
